Name,XS,S,M,L,XL,Dataset
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,books_200M_uint64
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,osm_cellids_200M_uint64
PGM,6538558 ns,6611050 ns,7800255 ns,9866206 ns,9866206 ns,osm_cellids_200M_uint64
ART, , , , , ,osm_cellids_200M_uint64
BTree,27 ns,219 ns,2312 ns,60575 ns,60575 ns,osm_cellids_200M_uint64
IBTree, ,119355 ns,513354 ns,513354 ns,513354 ns,osm_cellids_200M_uint64
FAST, , , , , ,osm_cellids_200M_uint64
ALEX, , ,149703 ns,427875 ns,10971225 ns,osm_cellids_200M_uint64
FST, , , , , ,osm_cellids_200M_uint64
Wormhole, , , , , ,osm_cellids_200M_uint64
RBS,484256 ns,740886 ns,282702 ns,692351 ns,1365356 ns,osm_cellids_200M_uint64
RobinHash, , , , ,15397074 ns,osm_cellids_200M_uint64
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,osm_cellids_200M_uint64
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,fb_200M_uint64
PGM,5729620 ns,6048525 ns,7740776 ns,9655703 ns,10585717 ns,fb_200M_uint64
ART, ,115774 ns,218868 ns,483900 ns,628133 ns,fb_200M_uint64
BTree,25 ns,216 ns,2215 ns,59586 ns,59586 ns,fb_200M_uint64
IBTree, ,129960 ns,585643 ns,585643 ns,585643 ns,fb_200M_uint64
FAST, ,2207 ns,11276 ns,11276 ns,11276 ns,fb_200M_uint64
ALEX, ,1041 ns,19360 ns,19360 ns,19360 ns,fb_200M_uint64
FST, ,5043 ns,5043 ns,5043 ns,5043 ns,fb_200M_uint64
Wormhole,1 ns,1 ns,1 ns,1 ns,1 ns,fb_200M_uint64
RBS,617123 ns,260882 ns,574547 ns,392473 ns,1926382 ns,fb_200M_uint64
RobinHash, , , , ,82080157 ns,fb_200M_uint64
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,fb_200M_uint64
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,uniform_dense_200M_uint64
PGM,9567735 ns,9567735 ns,9567735 ns,9567735 ns,9567735 ns,uniform_dense_200M_uint64
ART, ,111093 ns,157691 ns,157691 ns,4530715 ns,uniform_dense_200M_uint64
BTree,26 ns,232 ns,2214 ns,56977 ns,56977 ns,uniform_dense_200M_uint64
IBTree, ,149183 ns,545388 ns,378573 ns,2400092 ns,uniform_dense_200M_uint64
FAST, ,2192 ns,11759 ns,11759 ns,11759 ns,uniform_dense_200M_uint64
ALEX, ,407 ns,3284 ns,281566 ns,2499972 ns,uniform_dense_200M_uint64
FST, ,5199 ns,42002 ns,42002 ns,42002 ns,uniform_dense_200M_uint64
Wormhole,1 ns,1 ns,1 ns,1 ns,1 ns,uniform_dense_200M_uint64
RBS,764840 ns,729851 ns,291408 ns,290594 ns,1486141 ns,uniform_dense_200M_uint64
RobinHash, , , , ,6272069 ns,uniform_dense_200M_uint64
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,uniform_dense_200M_uint64
RMI, , , , , ,all_uint32
RMI, , , , , ,real_uint32
PGM,4730357 ns,4924913 ns,5572072 ns,6088235 ns,6088235 ns,all_uint32
PGM,4322914 ns,4708184 ns,6100869 ns,7208730 ns,7208730 ns,real_uint32
BTree,23 ns,160 ns,1724 ns,9851 ns,62055 ns,all_uint32
BTree,18 ns,164 ns,1733 ns,1733 ns,65295 ns,real_uint32
IBTree, ,91523 ns,277560 ns,350792 ns,900114 ns,all_uint32
IBTree, ,92111 ns,235781 ns,312591 ns,312591 ns,real_uint32
FAST, ,1442 ns,20821 ns,20821 ns,450203 ns,all_uint32
FAST, ,1494 ns,22018 ns,22018 ns,453273 ns,real_uint32
ALEX, ,1657 ns,24379 ns,285196 ns,11387105 ns,all_uint32
ALEX, ,1227 ns,23214 ns,209139 ns,2386349 ns,real_uint32
FST, ,2438 ns,36129 ns,61384 ns,61384 ns,all_uint32
FST, ,2607 ns,36506 ns,75971 ns,75971 ns,real_uint32
Wormhole, ,1 ns,1 ns,1 ns,1 ns,all_uint32
Wormhole, ,1 ns,1 ns,1 ns,1 ns,real_uint32
RBS,425830 ns,398542 ns,282773 ns,396700 ns,1403038 ns,all_uint32
RBS,418992 ns,362034 ns,302277 ns,412246 ns,1960989 ns,real_uint32
CuckooMap, , , , ,40532417 ns,all_uint32
CuckooMap, , , , ,41127951 ns,real_uint32
RobinHash, , , , ,75239864 ns,all_uint32
RobinHash, , , , ,9492179 ns,real_uint32
BinarySearch, , , , , ,all_uint32
BinarySearch, , , , , ,real_uint32
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,books_200M_uint32
PGM,3735373 ns,3953889 ns,5054192 ns,5741138 ns,5741138 ns,books_200M_uint32
BTree,18 ns,165 ns,1615 ns,1615 ns,64902 ns,books_200M_uint32
IBTree, ,91409 ns,177025 ns,396357 ns,396357 ns,books_200M_uint32
FAST, , , , , ,books_200M_uint32
ALEX, ,2035 ns,38527 ns,410376 ns,4764796 ns,books_200M_uint32
FST, , , , , ,books_200M_uint32
Wormhole, , , , , ,books_200M_uint32
RBS,574718 ns,194075 ns,384931 ns,355500 ns,1964270 ns,books_200M_uint32
CuckooMap, , , , , ,books_200M_uint32
RobinHash, , , , ,8829308 ns,books_200M_uint32
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,books_200M_uint32
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,uniform_sparse_200M_uint32
PGM,3844427 ns,4241221 ns,5338806 ns,6220063 ns,6220063 ns,uniform_sparse_200M_uint32
BTree,34 ns,165 ns,1832 ns,16021 ns,65185 ns,uniform_sparse_200M_uint32
IBTree, ,93357 ns,361839 ns,353807 ns,353807 ns,uniform_sparse_200M_uint32
FAST, , , , , ,uniform_sparse_200M_uint32
ALEX, ,246 ns,4501 ns,363771 ns,48357727 ns,uniform_sparse_200M_uint32
FST, , , , , ,uniform_sparse_200M_uint32
Wormhole, , , , , ,uniform_sparse_200M_uint32
RBS,225860 ns,573823 ns,359451 ns,374359 ns,910453 ns,uniform_sparse_200M_uint32
CuckooMap, , , , , ,uniform_sparse_200M_uint32
RobinHash, , , , ,10305958 ns,uniform_sparse_200M_uint32
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,uniform_sparse_200M_uint32
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,normal_200M_uint32
PGM,4344938 ns,4344938 ns,4344938 ns,4344938 ns,4344938 ns,normal_200M_uint32
