Name,XS,S,M,L,XL,Dataset
FST, ,1156 ns,848 ns, , ,uniform_dense_200M_uint64
Wormhole,996 ns,985 ns,972 ns, , ,uniform_dense_200M_uint64
RBS,521 ns,347 ns,281 ns,185 ns,101 ns,uniform_dense_200M_uint64
RobinHash, , , , ,86 ns,uniform_dense_200M_uint64
BinarySearch,750 ns,750 ns,750 ns,750 ns,750 ns,uniform_dense_200M_uint64
RMI,984 ns,652 ns,438 ns,331 ns,281 ns,osm_cellids_200M_uint64
PGM,743 ns,615 ns,468 ns,432 ns, ,osm_cellids_200M_uint64
ART, , , , , ,osm_cellids_200M_uint64
BTree,901 ns,689 ns,595 ns,577 ns,603 ns,osm_cellids_200M_uint64
IBTree, ,677 ns,604 ns,631 ns,801 ns,osm_cellids_200M_uint64
FAST, , , , , ,osm_cellids_200M_uint64
ALEX, , ,563 ns,551 ns,478 ns,osm_cellids_200M_uint64
FST, , , , , ,osm_cellids_200M_uint64
Wormhole, , , , , ,osm_cellids_200M_uint64
RBS,587 ns,471 ns,424 ns,337 ns,245 ns,osm_cellids_200M_uint64
RobinHash, , , , ,110 ns,osm_cellids_200M_uint64
BinarySearch,750 ns,750 ns,750 ns,750 ns,750 ns,osm_cellids_200M_uint64
RMI,94 ns,95 ns, , , ,normal_200M_uint64
PGM,204 ns, , , , ,normal_200M_uint64
ART, ,625 ns,459 ns,406 ns,478 ns,normal_200M_uint64
BTree,902 ns,691 ns,585 ns,586 ns,591 ns,normal_200M_uint64
IBTree, ,608 ns,480 ns,427 ns,444 ns,normal_200M_uint64
FAST, ,688 ns,603 ns, ,685 ns,normal_200M_uint64
ALEX, ,588 ns,466 ns,345 ns,244 ns,normal_200M_uint64
FST, ,995 ns,743 ns, , ,normal_200M_uint64
Wormhole,971 ns,967 ns,971 ns, , ,normal_200M_uint64
RBS,523 ns,391 ns,332 ns,221 ns,132 ns,normal_200M_uint64
RobinHash, , , , ,516 ns,normal_200M_uint64
BinarySearch,762 ns,762 ns,762 ns,762 ns,762 ns,normal_200M_uint64
RMI,303 ns,203 ns,169 ns,178 ns,173 ns,all_uint32
RMI,416 ns,315 ns,260 ns,245 ns,201 ns,real_uint32
PGM,357 ns,460 ns,370 ns,330 ns,380 ns,all_uint32
PGM,590 ns,513 ns,408 ns,350 ns,380 ns,real_uint32
BTree,922 ns,693 ns,569 ns,560 ns,524 ns,all_uint32
BTree,909 ns,687 ns,567 ns,569 ns,528 ns,real_uint32
IBTree, ,606 ns,496 ns,438 ns,470 ns,all_uint32
IBTree, ,616 ns,507 ns,492 ns,545 ns,real_uint32
FAST, ,642 ns,503 ns, ,481 ns,all_uint32
FAST, ,638 ns,510 ns, ,479 ns,real_uint32
ALEX, ,645 ns,462 ns,422 ns,310 ns,all_uint32
ALEX, ,640 ns,463 ns,454 ns,372 ns,real_uint32
FST, ,1032 ns,840 ns,866 ns, ,all_uint32
FST, ,1008 ns,884 ns,853 ns, ,real_uint32
Wormhole, ,998 ns,976 ns,1038 ns, ,all_uint32
Wormhole, ,1002 ns,997 ns,1047 ns, ,real_uint32
RBS,497 ns,429 ns,296 ns,206 ns,134 ns,all_uint32
RBS,455 ns,397 ns,270 ns,193 ns,131 ns,real_uint32
CuckooMap, , , , ,137 ns,all_uint32
CuckooMap, , , , ,162 ns,real_uint32
RobinHash, , , , ,157 ns,all_uint32
RobinHash, , , , ,128 ns,real_uint32
BinarySearch,770 ns,770 ns,770 ns,770 ns,770 ns,all_uint32
BinarySearch,768 ns,768 ns,768 ns,768 ns,768 ns,real_uint32
RMI,281 ns,211 ns,189 ns,182 ns,157 ns,uniform_sparse_200M_uint32
PGM,447 ns,355 ns,293 ns,289 ns, ,uniform_sparse_200M_uint32
BTree,918 ns,687 ns,581 ns,570 ns,518 ns,uniform_sparse_200M_uint32
IBTree, ,524 ns,464 ns,396 ns,430 ns,uniform_sparse_200M_uint32
FAST, , , , , ,uniform_sparse_200M_uint32
ALEX, ,634 ns,449 ns,437 ns,302 ns,uniform_sparse_200M_uint32
FST, , , , , ,uniform_sparse_200M_uint32
Wormhole, , , , , ,uniform_sparse_200M_uint32
RBS,446 ns,394 ns,255 ns,160 ns,120 ns,uniform_sparse_200M_uint32
CuckooMap, , , , , ,uniform_sparse_200M_uint32
RobinHash, , , , ,100 ns,uniform_sparse_200M_uint32
BinarySearch,776 ns,776 ns,776 ns,776 ns,776 ns,uniform_sparse_200M_uint32
RMI,77 ns,78 ns,79 ns,92 ns,131 ns,uniform_dense_200M_uint32
PGM,91 ns, , , , ,uniform_dense_200M_uint32
BTree,919 ns,697 ns,569 ns,560 ns,520 ns,uniform_dense_200M_uint32
